Agent_Number,Topology,Beta,Circle_Degree,Trendsetter_Percent,Epsilon,Weight,Trendsetter_Choosing_Type,Window_Size,A_emerged_count,B_emerged_count,Total_emerged,B_emerged_percentage
100,scale_free,0.3,"[1, 2]",10,0.15,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.3,"[1, 2]",10,0.2,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.4,"[1, 2]",2,0.05,"[0, 0, 1]",by closeness,5,12,8,20,0.4
100,scale_free,0.4,"[1, 2]",2,0.1,"[0, 0, 1]",by closeness,5,10,10,20,0.5
100,scale_free,0.4,"[1, 2]",2,0.15,"[0, 0, 1]",by closeness,5,9,11,20,0.55
100,scale_free,0.4,"[1, 2]",2,0.2,"[0, 0, 1]",by closeness,5,10,10,20,0.5
100,scale_free,0.4,"[1, 2]",4,0.05,"[0, 0, 1]",by closeness,5,9,11,20,0.55
100,scale_free,0.4,"[1, 2]",4,0.1,"[0, 0, 1]",by closeness,5,8,12,20,0.6
100,scale_free,0.4,"[1, 2]",4,0.15,"[0, 0, 1]",by closeness,5,6,14,20,0.7
100,scale_free,0.4,"[1, 2]",4,0.2,"[0, 0, 1]",by closeness,5,3,17,20,0.85
100,scale_free,0.4,"[1, 2]",6,0.05,"[0, 0, 1]",by closeness,5,3,17,20,0.85
100,scale_free,0.4,"[1, 2]",6,0.1,"[0, 0, 1]",by closeness,5,2,18,20,0.9
100,scale_free,0.4,"[1, 2]",6,0.15,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.4,"[1, 2]",6,0.2,"[0, 0, 1]",by closeness,5,3,17,20,0.85
100,scale_free,0.4,"[1, 2]",8,0.05,"[0, 0, 1]",by closeness,5,1,19,20,0.95
100,scale_free,0.4,"[1, 2]",8,0.1,"[0, 0, 1]",by closeness,5,1,19,20,0.95
100,scale_free,0.4,"[1, 2]",8,0.15,"[0, 0, 1]",by closeness,5,1,19,20,0.95
100,scale_free,0.4,"[1, 2]",8,0.2,"[0, 0, 1]",by closeness,5,1,19,20,0.95
100,scale_free,0.4,"[1, 2]",10,0.05,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.4,"[1, 2]",10,0.1,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.4,"[1, 2]",10,0.15,"[0, 0, 1]",by closeness,5,0,20,20,1.0
100,scale_free,0.4,"[1, 2]",10,0.2,"[0, 0, 1]",by closeness,5,0,20,20,1.0
,,,,,,,
